ssrd,longitude,latitude
11333820.00000000,97.4,4.9
11601378.00000000,97.5,4.9
11874268.00000000,97.6,4.9
11798304.00000000,97.7,4.9
11631816.00000000,97.8,4.9
5103090,100.6,4.9
5167682,100.7,4.9
5253190,100.8,4.9
5343482,100.9,4.9
5466554,101,4.9
5628608,101.1,4.9
5796100,101.2,4.9
6042496,101.3,4.9
6376004,101.4,4.9
6694498,101.5,4.9
6996964,101.6,4.9
7327388,101.7,4.9
7630002,101.8,4.9
7751694,101.9,4.9
7809608,102,4.9
7841704,102.1,4.9
7716294,102.2,4.9
7563952,102.3,4.9
7413284,102.4,4.9
7266586,102.5,4.9
7128398,102.6,4.9
7270332,102.7,4.9
7738802,102.8,4.9
8216396,102.9,4.9
8735208,103,4.9
9283454,103.1,4.9
9806878,103.2,4.9
10148042.00000000,103.3,4.9
19176188.00000000,114.8,4.9
19208588.00000000,114.9,4.9
19023304.00000000,115.2,4.9
18962922.00000000,115.3,4.9
18936940.00000000,115.4,4.9
18945056.00000000,115.5,4.9
18980566.00000000,115.6,4.9
18901138.00000000,115.7,4.9
18798258.00000000,115.8,4.9
18681120.00000000,115.9,4.9
18533664.00000000,116,4.9
18391548.00000000,116.1,4.9
18232786.00000000,116.2,4.9
18101494.00000000,116.3,4.9
17971794.00000000,116.4,4.9
17871120.00000000,116.5,4.9
17790842.00000000,116.6,4.9
17678514.00000000,116.7,4.9
17649434.00000000,116.8,4.9
17684306.00000000,116.9,4.9
17728390.00000000,117,4.9
17806508.00000000,117.1,4.9
17890732.00000000,117.2,4.9
17945720.00000000,117.3,4.9
17907366.00000000,117.4,4.9
17859870.00000000,117.5,4.9
17770164.00000000,117.6,4.9
17616948.00000000,117.7,4.9
17493142.00000000,117.8,4.9
17452378.00000000,117.9,4.9
17342302.00000000,118,4.9
17229022.00000000,118.1,4.9
7050382,95.5,4.8
7216794,95.6,4.8
7284834,95.7,4.8
7355320,95.8,4.8
7495702,95.9,4.8
7713020,96,4.8
7829646,96.1,4.8
7921706,96.2,4.8
8056074,96.3,4.8
8218208,96.4,4.8
8408440,96.5,4.8
8584660,96.6,4.8
8796236,96.7,4.8
9005600,96.8,4.8
9205684,96.9,4.8
9391836,97,4.8
9810942,97.1,4.8
10242058.00000000,97.2,4.8
10571536.00000000,97.3,4.8
10853102.00000000,97.4,4.8
11209012.00000000,97.5,4.8
11624366.00000000,97.6,4.8
11783546.00000000,97.7,4.8
11651446.00000000,97.8,4.8
11477272.00000000,97.9,4.8
5603676,100.6,4.8
5668924,100.7,4.8
5754040,100.8,4.8
5871362,100.9,4.8
6025156,101,4.8
6189344,101.1,4.8
6354318,101.2,4.8
6603452,101.3,4.8
6926278,101.4,4.8
7181744,101.5,4.8
7388782,101.6,4.8
7655184,101.7,4.8
7952860,101.8,4.8
8076526,101.9,4.8
8132148,102,4.8
8165892,102.1,4.8
8139858,102.2,4.8
8015904,102.3,4.8
7865388,102.4,4.8
7724598,102.5,4.8
7688512,102.6,4.8
7875918,102.7,4.8
8284776,102.8,4.8
8753426,102.9,4.8
9272620,103,4.8
9813386,103.1,4.8
10283558.00000000,103.2,4.8
10584368.00000000,103.3,4.8
10817010.00000000,103.4,4.8
18973618.00000000,114.7,4.8
18948012.00000000,114.8,4.8
18917512.00000000,114.9,4.8
18835892.00000000,115,4.8
18777392.00000000,115.1,4.8
18730308.00000000,115.2,4.8
18670350.00000000,115.3,4.8
18643346.00000000,115.4,4.8
18685916.00000000,115.5,4.8
18856870.00000000,115.6,4.8
19045662.00000000,115.7,4.8
18993472.00000000,115.8,4.8
18878866.00000000,115.9,4.8
18740470.00000000,116,4.8
18646624.00000000,116.1,4.8
18497768.00000000,116.2,4.8
18251960.00000000,116.3,4.8
18120106.00000000,116.4,4.8
18019974.00000000,116.5,4.8
17887174.00000000,116.6,4.8
17638840.00000000,116.7,4.8
17451546.00000000,116.8,4.8
17414844.00000000,116.9,4.8
17455680.00000000,117,4.8
17527316.00000000,117.1,4.8
17562118.00000000,117.2,4.8
17543118.00000000,117.3,4.8
17594946.00000000,117.4,4.8
17551932.00000000,117.5,4.8
17463452.00000000,117.6,4.8
17354596.00000000,117.7,4.8
17380358.00000000,117.8,4.8
17593010.00000000,117.9,4.8
17706692.00000000,118,4.8
17579432.00000000,118.1,4.8
6251018,95.6,4.7
6349514,95.7,4.7
6488962,95.8,4.7
6649288,95.9,4.7
6870036,96,4.7
7099100,96.1,4.7
7225646,96.2,4.7
7392910,96.3,4.7
7593856,96.4,4.7
7785242,96.5,4.7
7953820,96.6,4.7
8127634,96.7,4.7
8335156,96.8,4.7
8516734,96.9,4.7
8692600,97,4.7
9111736,97.1,4.7
9641258,97.2,4.7
10070776.00000000,97.3,4.7
10434282.00000000,97.4,4.7
10933706.00000000,97.5,4.7
11392900.00000000,97.6,4.7
11536318.00000000,97.7,4.7
11642416.00000000,97.8,4.7
11501662.00000000,97.9,4.7
6276600,100.6,4.7
6181300,100.7,4.7
6296234,100.8,4.7
6443658,100.9,4.7
6597430,101,4.7
6761794,101.1,4.7
6926906,101.2,4.7
7166664,101.3,4.7
7422362,101.4,4.7
7655550,101.5,4.7
7860938,101.6,4.7
8054078,101.7,4.7
8299238,101.8,4.7
8406818,101.9,4.7
8455940,102,4.7
8491630,102.1,4.7
8476780,102.2,4.7
8447588,102.3,4.7
8319318,102.4,4.7
8288218,102.5,4.7
8330106,102.6,4.7
8523488,102.7,4.7
8891742,102.8,4.7
9296730,102.9,4.7
9801002,103,4.7
10298254.00000000,103.1,4.7
10771290.00000000,103.2,4.7
11061160.00000000,103.3,4.7
11195436.00000000,103.4,4.7
18780106.00000000,114.5,4.7
18743674.00000000,114.6,4.7
18711650.00000000,114.7,4.7
18659956.00000000,114.8,4.7
18580084.00000000,114.9,4.7
18472372.00000000,115,4.7
18410584.00000000,115.1,4.7
18375650.00000000,115.2,4.7
18331960.00000000,115.3,4.7
18395252.00000000,115.4,4.7
18549264.00000000,115.5,4.7
18749156.00000000,115.6,4.7
18952122.00000000,115.7,4.7
19104416.00000000,115.8,4.7
19086204.00000000,115.9,4.7
19001544.00000000,116,4.7
18953154.00000000,116.1,4.7
18804968.00000000,116.2,4.7
18518492.00000000,116.3,4.7
18287798.00000000,116.4,4.7
18111560.00000000,116.5,4.7
17870646.00000000,116.6,4.7
17577770.00000000,116.7,4.7
17380470.00000000,116.8,4.7
17235480.00000000,116.9,4.7
17186808.00000000,117,4.7
17196546.00000000,117.1,4.7
17163196.00000000,117.2,4.7
17135752.00000000,117.3,4.7
17191586.00000000,117.4,4.7
17228484.00000000,117.5,4.7
17207752.00000000,117.6,4.7
17244714.00000000,117.7,4.7
17386556.00000000,117.8,4.7
17597398.00000000,117.9,4.7
17851622.00000000,118,4.7
17980362.00000000,118.1,4.7
